Evening_class,Mothers_occupation,Fathers_occupation,Debtor,Gender,Scholarship_holder,Age_at_enrollment,Class,Smt_1_passed,Smt_2_passed,Status
Ada kelas,3.0,5.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,4,Graduate
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Enrolled
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,0,0,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,7,8,Enrolled
Ada kelas,1.0,1.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Graduate
Ada kelas,3.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,7,Graduate
Ada kelas,9.0,9.0,Lunas,Laki-laki,Beasiswa,18,Regular,5,4,Enrolled
Ada kelas,7.0,8.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,6,6,Graduate
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,4,Enrolled
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,5,5,Graduate
Ada kelas,1.0,10.0,Belum Lunas,Perempuan,Mandiri,19,Regular,6,6,Enrolled
Ada kelas,4.0,2.0,Belum Lunas,Perempuan,Mandiri,21,Regular,5,5,Enrolled
Ada kelas,16.5,16.5,Belum Lunas,Perempuan,Mandiri,20,Regular,6,4,Graduate
Ada kelas,4.0,6.0,Belum Lunas,Perempuan,Mandiri,18,Regular,3,2,Enrolled
Tidak ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,6,Graduate
Tidak ada kelas,3.0,9.0,Belum Lunas,Perempuan,Mandiri,34,Regular,5,5,Graduate
Ada kelas,9.0,6.0,Lunas,Perempuan,Mandiri,34,Regular,0,1,Dropout
Ada kelas,0.0,0.0,Belum Lunas,Perempuan,Mandiri,34,Regular,0,0,Dropout
Ada kelas,6.0,6.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,1,2,Dropout
Tidak ada kelas,9.0,3.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,5,5,Graduate
Ada kelas,3.0,6.0,Lunas,Laki-laki,Mandiri,20,Internasional,3,3,Dropout
Ada kelas,2.0,2.0,Lunas,Laki-laki,Mandiri,18,Regular,4,0,Dropout
Ada kelas,2.0,7.0,Belum Lunas,Laki-laki,Mandiri,22,Regular,5,5,Graduate
Ada kelas,2.0,2.0,Belum Lunas,Laki-laki,Mandiri,22,Regular,5,7,Graduate
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,5,Dropout
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,29,Regular,0,0,Dropout
Tidak ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,24,Regular,2,3,Enrolled
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,5,Graduate
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,22,Regular,6,7,Graduate
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,6,Graduate
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,24,Regular,6,6,Graduate
Ada kelas,6.0,6.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Enrolled
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,4,3,Enrolled
Ada kelas,16.5,16.5,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,27,Regular,5,5,Dropout
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,8,Graduate
Ada kelas,4.0,3.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,0,0,Dropout
Ada kelas,2.0,2.0,Belum Lunas,Laki-laki,Mandiri,27,Regular,5,10,Dropout
Ada kelas,7.0,10.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,8,8,Graduate
Ada kelas,4.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,0,0,Enrolled
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,7,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,6,6,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Perempuan,Beasiswa,19,Regular,0,0,Enrolled
Ada kelas,3.0,4.0,Belum Lunas,Perempuan,Mandiri,19,Regular,5,1,Enrolled
Ada kelas,3.0,3.0,Belum Lunas,Perempuan,Mandiri,24,Regular,0,0,Enrolled
Ada kelas,5.0,5.0,Belum Lunas,Perempuan,Mandiri,29,Regular,5,5,Dropout
Ada kelas,5.0,3.0,Belum Lunas,Perempuan,Beasiswa,19,Regular,0,0,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,23,Regular,6,6,Graduate
Ada kelas,7.0,7.0,Lunas,Perempuan,Mandiri,19,Regular,5,4,Dropout
Ada kelas,7.0,10.0,Belum Lunas,Perempuan,Mandiri,26,Regular,6,5,Enrolled
Ada kelas,5.0,5.0,Belum Lunas,Perempuan,Mandiri,18,Regular,0,0,Enrolled
Ada kelas,8.0,4.0,Belum Lunas,Perempuan,Mandiri,24,Regular,7,8,Graduate
Ada kelas,5.0,10.0,Belum Lunas,Perempuan,Mandiri,19,Regular,0,0,Dropout
Ada kelas,5.0,7.0,Belum Lunas,Perempuan,Mandiri,18,Regular,3,1,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,18,Regular,6,3,Graduate
Ada kelas,4.0,7.0,Lunas,Perempuan,Mandiri,18,Regular,3,3,Dropout
Ada kelas,7.0,7.0,Belum Lunas,Perempuan,Beasiswa,21,Regular,4,1,Dropout
Ada kelas,9.0,8.0,Lunas,Perempuan,Beasiswa,19,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Beasiswa,22,Regular,7,8,Graduate
Tidak ada kelas,9.0,6.0,Belum Lunas,Perempuan,Mandiri,33,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,20,Regular,5,5,Dropout
Tidak ada kelas,2.0,2.0,Belum Lunas,Perempuan,Mandiri,34,Regular,0,0,Dropout
Ada kelas,4.0,2.0,Lunas,Perempuan,Mandiri,24,Regular,6,10,Dropout
Ada kelas,4.0,4.0,Belum Lunas,Perempuan,Mandiri,18,Regular,5,3,Enrolled
Tidak ada kelas,9.0,6.0,Belum Lunas,Laki-laki,Mandiri,33,Regular,6,5,Graduate
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,22,Regular,7,7,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Beasiswa,25,Regular,4,5,Graduate
Ada kelas,4.0,0.0,Belum Lunas,Perempuan,Mandiri,20,Regular,6,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Perempuan,Mandiri,23,Regular,4,5,Enrolled
Ada kelas,9.0,6.0,Lunas,Perempuan,Mandiri,18,Regular,2,0,Enrolled
Ada kelas,4.0,10.0,Belum Lunas,Perempuan,Mandiri,24,Regular,0,0,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,21,Internasional,6,6,Graduate
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,26,Internasional,2,0,Dropout
Ada kelas,0.0,0.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,3,0,Dropout
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,8,6,Graduate
Ada kelas,9.0,2.0,Belum Lunas,Perempuan,Mandiri,19,Internasional,5,3,Enrolled
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,8,Graduate
Ada kelas,9.0,1.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Enrolled
Ada kelas,2.0,2.0,Lunas,Laki-laki,Mandiri,19,Regular,4,0,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,8,5,Dropout
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,0,0,Graduate
Tidak ada kelas,6.0,5.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,0,0,Dropout
Ada kelas,9.0,6.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,18,13,Graduate
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,0,0,Dropout
Ada kelas,2.0,8.0,Lunas,Laki-laki,Mandiri,20,Regular,10,11,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,0,0,Dropout
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,4,Dropout
Ada kelas,4.0,3.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,5,Dropout
Ada kelas,9.0,3.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,3,Enrolled
Ada kelas,6.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,3,3,Enrolled
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Dropout
Ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,7,Enrolled
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,2,4,Enrolled
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,3,3,Enrolled
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,5,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,5,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,3,2,Dropout
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,4,Graduate
Ada kelas,2.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,0,0,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,5,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,6,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,0,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,5,Graduate
Ada kelas,9.0,3.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,5,5,Enrolled
Ada kelas,5.0,3.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,8.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,7,8,Graduate
Ada kelas,5.0,8.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,7,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,4.0,8.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,0,Dropout
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,9,7,Graduate
Ada kelas,3.0,9.0,Lunas,Laki-laki,Beasiswa,19,Regular,5,4,Dropout
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,4,Graduate
Ada kelas,16.5,16.5,Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,5,7,Enrolled
Ada kelas,4.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,8,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,6,Graduate
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,5,Graduate
Ada kelas,3.0,3.0,Lunas,Laki-laki,Mandiri,22,Regular,0,0,Enrolled
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Graduate
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,7,8,Graduate
Ada kelas,5.0,6.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,0,0,Dropout
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,5,3,Dropout
Ada kelas,2.0,10.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,6,7,Graduate
Ada kelas,2.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,0,0,Enrolled
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,7.0,6.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,3,5,Enrolled
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,5,Graduate
Ada kelas,2.0,5.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,3,3,Dropout
Ada kelas,6.0,6.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,4,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,5,5,Graduate
Ada kelas,7.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,6,Graduate
Tidak ada kelas,6.0,8.0,Belum Lunas,Laki-laki,Beasiswa,24,Regular,5,5,Graduate
Ada kelas,4.0,1.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,6,Dropout
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,7,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,8,Graduate
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,4,3,Dropout
Ada kelas,5.0,4.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Graduate
Ada kelas,6.0,6.0,Lunas,Laki-laki,Mandiri,34,Regular,0,0,Enrolled
Ada kelas,7.0,8.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,4,Graduate
Ada kelas,1.0,1.0,Belum Lunas,Laki-laki,Mandiri,29,Regular,7,7,Graduate
Ada kelas,4.0,8.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,3,2,Dropout
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Mandiri,28,Regular,4,4,Enrolled
Ada kelas,3.0,10.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,7,8,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,6,Graduate
Tidak ada kelas,4.0,6.0,Belum Lunas,Laki-laki,Mandiri,26,Regular,3,5,Graduate
Ada kelas,9.0,8.0,Lunas,Laki-laki,Mandiri,20,Regular,4,6,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,3,4,Enrolled
Ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,27,Regular,5,5,Graduate
Ada kelas,16.5,16.5,Belum Lunas,Laki-laki,Mandiri,20,Regular,4,4,Dropout
Ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,5,Dropout
Ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,33,Regular,6,6,Dropout
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,21,19,Graduate
Tidak ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,26,Regular,6,6,Enrolled
Ada kelas,3.0,4.0,Lunas,Laki-laki,Mandiri,27,Regular,5,0,Dropout
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,0,Dropout
Ada kelas,4.0,6.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,0,0,Dropout
Ada kelas,5.0,7.0,Lunas,Laki-laki,Mandiri,20,Regular,3,3,Dropout
Ada kelas,5.0,9.0,Lunas,Laki-laki,Mandiri,21,Regular,8,4,Enrolled
Ada kelas,9.0,4.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,24,Regular,2,0,Dropout
Ada kelas,4.0,1.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,6,Graduate
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,6,6,Graduate
Tidak ada kelas,7.0,3.0,Belum Lunas,Laki-laki,Mandiri,23,Regular,2,1,Enrolled
Ada kelas,4.0,3.0,Belum Lunas,Laki-laki,Mandiri,24,Regular,0,0,Dropout
Ada kelas,4.0,10.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,0,0,Dropout
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Tidak ada kelas,3.0,4.0,Belum Lunas,Laki-laki,Mandiri,27,Regular,0,0,Dropout
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,8,8,Graduate
Ada kelas,2.0,2.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,0,0,Dropout
Ada kelas,3.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Ada kelas,16.5,16.5,Belum Lunas,Laki-laki,Mandiri,34,Regular,3,3,Enrolled
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,4,4,Graduate
Ada kelas,4.0,0.0,Belum Lunas,Laki-laki,Mandiri,20,Regular,6,6,Graduate
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Ada kelas,5.0,10.0,Lunas,Laki-laki,Mandiri,21,Regular,6,6,Graduate
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,5,4,Graduate
Ada kelas,0.0,0.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,4,4,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Ada kelas,1.0,4.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,8.0,7.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,5,Graduate
Ada kelas,2.0,3.0,Belum Lunas,Laki-laki,Beasiswa,34,Regular,6,5,Dropout
Ada kelas,7.0,4.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,7,7,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,9.0,2.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,6,6,Graduate
Tidak ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,26,Regular,0,0,Dropout
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,6,6,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,25,Regular,6,8,Enrolled
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,5,Graduate
Tidak ada kelas,8.0,7.0,Belum Lunas,Laki-laki,Mandiri,24,Regular,1,0,Dropout
Tidak ada kelas,5.0,4.0,Belum Lunas,Laki-laki,Beasiswa,27,Regular,1,0,Dropout
Ada kelas,1.0,3.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,0,2,Dropout
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,4,3,Graduate
Ada kelas,5.0,7.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Graduate
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,4,2,Dropout
Ada kelas,5.0,9.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,7,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,7,Graduate
Tidak ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,33,Regular,6,5,Graduate
Ada kelas,3.0,10.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,6,6,Graduate
Ada kelas,0.0,0.0,Belum Lunas,Laki-laki,Mandiri,28,Regular,0,0,Dropout
Ada kelas,5.0,8.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,7,7,Graduate
Ada kelas,4.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,3,Graduate
Ada kelas,4.0,6.0,Belum Lunas,Laki-laki,Mandiri,34,Regular,0,0,Dropout
Ada kelas,4.0,3.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,21,Regular,5,5,Graduate
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,3,1,Dropout
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,22,Regular,5,6,Graduate
Ada kelas,5.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,5,6,Graduate
Ada kelas,3.0,9.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,25,Regular,4,4,Dropout
Ada kelas,9.0,7.0,Lunas,Laki-laki,Mandiri,24,Regular,3,3,Dropout
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,6,7,Enrolled
Ada kelas,3.0,3.0,Belum Lunas,Laki-laki,Mandiri,24,Regular,11,9,Enrolled
Ada kelas,5.0,5.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,5,5,Graduate
Ada kelas,9.0,1.0,Belum Lunas,Laki-laki,Mandiri,25,Regular,0,0,Dropout
Ada kelas,9.0,10.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,9,10,Graduate
Ada kelas,5.0,3.0,Belum Lunas,Laki-laki,Mandiri,23,Regular,8,8,Graduate
Ada kelas,7.0,6.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,7,7,Graduate
Ada kelas,9.0,10.0,Lunas,Laki-laki,Mandiri,29,Regular,3,3,Dropout
Ada kelas,4.0,7.0,Belum Lunas,Laki-laki,Mandiri,21,Regular,6,4,Graduate
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Enrolled
Ada kelas,7.0,7.0,Belum Lunas,Laki-laki,Beasiswa,18,Regular,6,6,Dropout
Ada kelas,16.5,6.0,Belum Lunas,Laki-laki,Mandiri,19,Regular,5,5,Graduate
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,1,0,Enrolled
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,5,5,Graduate
Ada kelas,7.0,7.0,Lunas,Laki-laki,Beasiswa,34,Regular,1,0,Dropout
Tidak ada kelas,6.0,6.0,Belum Lunas,Laki-laki,Mandiri,29,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Enrolled
Ada kelas,9.0,8.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,5,Graduate
Ada kelas,3.0,1.0,Lunas,Laki-laki,Mandiri,22,Regular,6,2,Dropout
Ada kelas,9.0,7.0,Belum Lunas,Laki-laki,Beasiswa,20,Regular,6,5,Graduate
Tidak ada kelas,16.5,16.5,Belum Lunas,Laki-laki,Mandiri,34,Regular,0,0,Dropout
Ada kelas,9.0,9.0,Lunas,Laki-laki,Mandiri,30,Regular,8,6,Dropout
Ada kelas,4.0,4.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,9.0,5.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,6,6,Graduate
Ada kelas,1.0,3.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,4,3,Graduate
Ada kelas,2.0,3.0,Belum Lunas,Laki-laki,Mandiri,18,Regular,7,7,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,5,5,Graduate
Ada kelas,9.0,9.0,Belum Lunas,Laki-laki,Beasiswa,19,Regular,6,6,Graduate
